FoodID	taxonomy	Main.food.description
11553100	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Milk_fruit_smoothie;L5_;Fruit_smoothie_drink_NFS	Fruit smoothie drink NFS
11560000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Flavored_milk_and_milk_drinks_fluid;L4_Coffee_and_whey_flavors;L5_;Chocolateflavored_drink_whey_and_milkbased	Chocolateflavored drink whey and milkbased
11813000	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;L4_Milk_dry_not_reconstituted;L5_;Milk_dry_nonfat_not_reconstituted	Milk dry nonfat not reconstituted
11830110	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;L4_Milk_dry_with_flavors;L5_;Cocoa_powder_with_nonfat_dry_milk_and_low_calorie_sweetener_dry_mix_not_reconstituted	Cocoa powder with nonfat dry milk and low calorie sweetener dry mix not reconstituted
11830160	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;L4_Milk_dry_with_flavors;L5_;Cocoa_or_chocolate_flavored_beverage_powder_with_sugar_dry_mix_not_reconstituted	Cocoa or chocolate flavored beverage powder with sugar dry mix not reconstituted
11830165	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;L4_Milk_dry_with_flavors;L5_;Cocoa_or_chocolate_flavored_beverage_powder_with_reduced_sugar_dry_mix_not_reconstituted	Cocoa or chocolate flavored beverage powder with reduced sugar dry mix not reconstituted
11830800	L1_Milk_and_Milk_Products;L2_Milks_and_milk_drinks;L3_Milk_dry_and_powdered_mixtures_with;L4_Milk_dry_with_flavors;L5_;Instant_breakfast_powder_not_reconstituted	Instant breakfast powder not reconstituted
12100100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_;L5_;Cream_NS_as_to_light_heavy_or_half_and_half	Cream NS as to light heavy or half and half
12110100	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_Cream_light;L5_;Cream_light_fluid	Cream light fluid
12110300	L1_Milk_and_Milk_Products;L2_Creams_and_cream_substitutes;L3_Sweet_dairy_cream;L4_Cream_light;L5_;Cream_light_whipped_unsweetened	Cream light whipped unsweetened
